"date","Q1","Q2"
1985.11506849315,72,13
1985.11780821918,74,13
1985.12054794521,72,13
1985.12328767123,75,13
1985.12602739726,79,12
1985.12876712329,77,12
1985.13150684931,78,12
1985.13424657534,75,12
1985.13698630137,78,12
1985.1397260274,78,11
1985.14246575342,77,11
1985.14520547945,77,12
1985.14794520548,75,12
1985.15068493151,78,13
1985.15342465753,78,14
1985.15616438356,77,13
1985.15890410959,85,15.9
1985.16164383562,79,14
1985.16438356164,80,16
1985.16712328767,83,15
1985.1698630137,79,12.1
1985.17260273973,77,14
1985.17534246575,81,18.9
1985.17808219178,76,16.1
1985.18082191781,79,16
1985.18356164384,84,20
1985.18630136986,87,20.6
1985.18904109589,87,39.6
1985.19178082192,87,56.5
1985.19452054795,84,60.9
1985.19726027397,81,54.1
1985.2,85,56.5
1985.20273972603,88,49.1
1985.20547945205,89,53.9
1985.20821917808,95,51.3
1985.21095890411,99,49
1985.21369863014,95,51.9
1985.21643835616,99,54.9
1985.21917808219,98,51.1
1985.22191780822,93,43.8
1985.22465753425,98,48.9
1985.22739726027,110,63.2
1985.2301369863,113,75.3
1985.23287671233,100,72.2
1985.23561643836,88,67.9
1985.23835616438,100,72.1
1985.24109589041,98,77.2
1985.24383561644,100,71.1
1985.24657534247,103,84.8
1985.24931506849,105,96.4
1985.25205479452,119,116
1985.25479452055,129,163
1985.25753424658,114,170
1985.2602739726,135,193
1985.26301369863,149,291
1985.26575342466,170,346
1985.26849315068,189,400
1985.27123287671,184,472
1985.27397260274,205,509
1985.27671232877,237,566
1985.27945205479,304,578
1985.28219178082,383,582
1985.28493150685,494,610
1985.28767123288,629,643
1985.2904109589,696,698
1985.29315068493,792,734
1985.29589041096,830,674
1985.29863013699,663,527
1985.30136986301,596,524
1985.30410958904,521,470
1985.30684931507,459,450
1985.3095890411,454,410
1985.31232876712,467,390
1985.31506849315,429,380
1985.31780821918,409,380
1985.32054794521,518,400
1985.32328767123,618,450
1985.32602739726,775,500
1985.32876712329,940,560
1985.33150684932,1010,660
1985.33424657534,1120,866
1985.33698630137,1140,1070
1985.3397260274,1130,954
1985.34246575342,1110,826
1985.34520547945,1150,823
1985.34794520548,1140,795
1985.35068493151,1150,704
1985.35342465753,1090,605
1985.35616438356,1020,538
1985.35890410959,990,461
1985.36164383562,970,423
1985.36438356164,980,382
1985.36712328767,954,367
1985.3698630137,952,371
1985.37260273973,1020,373
1985.37534246575,1100,384
1985.37808219178,1180,389
1985.38082191781,1120,379
1985.38356164384,1180,348
1985.38630136986,1200,312
1985.38904109589,1290,294
1985.39178082192,1530,310
1985.39452054795,1690,296
1985.39726027397,1790,287
1985.4,1900,255
1985.40273972603,2020,226
1985.40547945205,2080,195
1985.40821917808,1990,182
1985.41095890411,1780,158
1985.41369863014,1540,164
1985.41643835616,1430,135
1985.41917808219,1500,124
1985.42191780822,1530,116
1985.42465753425,1700,110
1985.42739726027,2010,100
1985.4301369863,2240,94
1985.43287671233,2640,90
1985.43561643836,2920,84
1985.43835616438,2850,80
1985.44109589041,2310,74
1985.44383561644,2090,70
1985.44657534247,2050,64
1985.44931506849,2060,60
1985.45205479452,2070,54
1985.45479452055,2040,50
1985.45753424658,1940,45
1985.4602739726,1890,40
1985.46301369863,1740,35
1985.46575342466,1620,34
1985.46849315068,1590,29
1985.47123287671,1550,26
1985.47397260274,1410,24
1985.47671232877,1350,22
1985.47945205479,1480,19
1985.48219178082,1310,17
1985.48493150685,1050,15
1985.48767123288,904,13
1985.4904109589,902,10.8
1985.49315068493,896,9.43
1985.49589041096,862,8.52
1985.49863013699,856,5.76
1985.50136986301,831,3.94
1985.50410958904,850,3.72
1985.50684931507,857,1.55
1985.5095890411,814,0.81
1985.51232876712,794,1.68
1985.51506849315,802,2.58
1985.51780821918,792,2.8
1985.52054794521,750,1.72
1985.52328767123,714,0.92
1985.52602739726,704,0.54
1985.52876712329,807,0.19
1985.53150684932,698,0.14
1985.53424657534,650,0.13
1985.53698630137,609,0.13
1985.5397260274,595,0.13
1985.54246575342,574,0.12
1985.54520547945,556,9.21
1985.54794520548,577,63.8
1985.55068493151,584,40.6
1985.55342465753,575,24.3
1985.55616438356,555,19.1
1985.55890410959,522,16.1
1985.56164383562,483,14
1985.56438356164,463,10.1
1985.56712328767,421,11
1985.5698630137,374,9.82
1985.57260273973,380,9.8
1985.57534246575,361,8.92
1985.57808219178,352,7.04
1985.58082191781,348,5.08
1985.58356164384,352,4.12
1985.58630136986,367,4.1
1985.58904109589,348,3.9
1985.59178082192,327,3.51
1985.59452054795,302,2.62
1985.59726027397,283,2.6
1985.6,282,1.72
1985.60273972603,282,1.21
1985.60547945205,277,0.72
1985.60821917808,274,0.53
1985.61095890411,304,1.09
1985.61369863014,296,1.13
1985.61643835616,274,1.1
1985.61917808219,260,0.72
1985.62191780822,250,0.62
1985.62465753425,241,0.38
1985.62739726027,246,0.61
1985.6301369863,244,0.71
1985.63287671233,229,0.53
1985.63561643836,218,0.45
1985.63835616438,211,0.7
1985.64109589041,208,0.38
1985.64383561644,199,0.25
1985.64657534247,193,0.25
1985.64931506849,190,0.28
1985.65205479452,184,0.22
1985.65479452055,181,0.45
1985.65753424658,178,0.79
1985.6602739726,176,0.8
1985.66301369863,172,0.62
1985.66575342466,166,1.09
